date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:30:33	169261/169261	---M--	200	added ('OK')	image/png	etag:W/%222952d-19c7f60c7d8%22	https://subwaygoldbrasil.com/games/play/candy-crush/assets/hd/images/modal/stars.png	C:/Users/dinho/Desktop/teste%20jogo%202/subwaygoldbrasil.com/games/play/candy-crush/assets/hd/images/modal/stars.png	(from https://subwaygoldbrasil.com/games/play/candy-crush/index.html?trial=true)
09:30:33	696545/696545	---M--	200	added ('OK')	image/png	etag:W/%22aa0e1-19c7f60c7d8%22	https://subwaygoldbrasil.com/games/play/candy-crush/assets/hd/images/modal/happy-girl.png	C:/Users/dinho/Desktop/teste%20jogo%202/subwaygoldbrasil.com/games/play/candy-crush/assets/hd/images/modal/happy-girl.png	(from https://subwaygoldbrasil.com/games/play/candy-crush/index.html?trial=true)
09:30:34	30200/30200	---MCZ	200	added ('OK')	text/javascript	etag:W/%222026.1.1%22	https://static.cloudflareinsights.com/beacon.min.js/v67327c56f0bb4ef8b305cae61679db8f1769101564043	C:/Users/dinho/Desktop/teste%20jogo%202/static.cloudflareinsights.com/beacon.min.js/v67327c56f0bb4ef8b305cae61679db8f1769101564043	(from https://subwaygoldbrasil.com/games/play/candy-crush/index.html?trial=true)
09:30:34	17403/17403	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Feb%202026%2012:30:33%20GMT	https://subwaygoldbrasil.com/games/play/candy-crush/fonts/ComicSansBold.woff	C:/Users/dinho/Desktop/teste%20jogo%202/subwaygoldbrasil.com/games/play/candy-crush/fonts/ComicSansBold.woff	(from https://subwaygoldbrasil.com/games/play/candy-crush/css/stylesheet.css)
09:30:34	1234104/1234104	---M--	200	added ('OK')	image/png	etag:W/%2212d4b8-19c7f60c7d8%22	https://subwaygoldbrasil.com/games/play/candy-crush/assets/hd/images/modal/girl-sad.png	C:/Users/dinho/Desktop/teste%20jogo%202/subwaygoldbrasil.com/games/play/candy-crush/assets/hd/images/modal/girl-sad.png	(from https://subwaygoldbrasil.com/games/play/candy-crush/index.html?trial=true)
09:30:35	17403/17403	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Feb%202026%2012:30:34%20GMT	https://subwaygoldbrasil.com/games/play/candy-crush/img/orientation.jpg	C:/Users/dinho/Desktop/teste%20jogo%202/subwaygoldbrasil.com/games/play/candy-crush/img/orientation.jpg	(from https://subwaygoldbrasil.com/games/play/candy-crush/css/stylesheet.css)
09:30:35	51/51	---MCZ	200	added ('OK')	text/plain	date:Fri,%2027%20Feb%202026%2012:30:34%20GMT	https://fonts.googleapis.com/robots.txt		(from https://subwaygoldbrasil.com/games/play/candy-crush/index.html?trial=true)
09:30:36	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Feb%202026%2012:30:35%20GMT	https://fonts.gstatic.com/robots.txt		(from https://subwaygoldbrasil.com/games/play/candy-crush/index.html?trial=true)
09:30:36	42068/42068	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2016%20Sep%202025%2003:39:33%20GMT	https://fonts.gstatic.com/s/fredokaone/v15/k3kUo8kEI-tA1RRcTZGmTmHB.ttf	C:/Users/dinho/Desktop/teste%20jogo%202/fonts.gstatic.com/s/fredokaone/v15/k3kUo8kEI-tA1RRcTZGmTmHB.ttf	(from https://fonts.googleapis.com/css2?family=Fredoka+One&display=swap)
09:31:12	7194/7194	---M--	522	error ('Unknown%20error')	text/html	date:Fri,%2027%20Feb%202026%2012:31:11%20GMT	https://static.cloudflareinsights.com/robots.txt		(from https://subwaygoldbrasil.com/games/play/candy-crush/index.html?trial=true)
